yrke_raa,antall_personer,normalisert,kategori,kilde,notat
Murermester,2,Murermester,Bygg og anlegg,regel,maler = bygningsmaler
Murstensmurer,2,Murer,Bygg og anlegg,regel,maler = bygningsmaler
Steenhuger - Idefjorden,2,Stenhugger,Bygg og anlegg,regel,maler = bygningsmaler
Stenhuggerformand,2,Stenhuggerformann,Bygg og anlegg,regel,maler = bygningsmaler
Stenhuggersmed,2,Stenhuggersmed,Bygg og anlegg,regel,maler = bygningsmaler
Dag arbeider,2,Dagarbeider,Dagarbeid,regel,"fallback-regel, sjekket manuelt"
Løs Arbeider,2,Løsarbeider,Dagarbeid,regel,
Løsarbeider; intet bestemt,2,Løsarbeider,Dagarbeid,regel,
Egne midler,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Formue,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Forsørges af Fatigvesenet,2,Understøttes av fattigvesen,Forsørget,manuell,offentlig støtte
Forsørget af Fattigvæsenet,2,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Gaardeierske,2,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
gaardeierske,2,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
"Huseierske, Bidrag af legater, fv. lærerinde privat skole",2,Huseier/gårdeier,Forsørget,manuell,"forhenværende yrke, lever nå av støtte/eiendom"
Ingen Erhverv Lever af sine Midler,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Kapitalrenter,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af egne Midler og Gaard,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
lever af sine Midler,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
lever af sine midler,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Off. understøttelse,2,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Pensionnert,2,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Rentenistinde,2,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Strikning Haandgjerning & fattigunderst,2,Håndgjerning fattigunderstøttelse,Forsørget,regel,
Understøttelse af fattigvæsenet,2,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
understøttes af Familien,2,Forsørges av familie/privat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Understøttes af Fattigvæsenet,2,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Misionær Uden Løn,2,Misjonær,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Sogneprest,2,Sogneprest,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Bager-Butikjomfru,2,Butikkdame/expiditrise,Handel,manuell,butikkfunksjon/salg
Blomsterforretning,2,Butikkmedarbeider,Handel,regel,
Butikdame,2,Butikkdame/expiditrise,Handel,regel,
Butikjomfru hos J Dahl,2,Butikkdame/expiditrise,Handel,regel,
Butikjomfru Hush. handel,2,Butikkdame/expiditrise,Handel,regel,
Cafejomfru,2,Kafédame/servitrise,Handel,regel,
Forretningsdame,2,Butikkdame/expiditrise,Handel,regel,
Handelsmand Kolonial,2,Kjøpmann/handelsmann,Handel,regel,
Handelsmand og gaardeier,2,Kjøpmann/handelsmann,Handel,regel,
handelsreisende,2,Handelsreisende,Handel,regel,
Handlende kolonial,2,Kjøpmann/handelsmann,Handel,regel,
Handlende v/ Kjødforretning,2,Kjøtthandler,Handel,regel,
Hoteldrift,2,Hotellbestyrer,Handel,regel,
Hotelvært,2,Hotellvert/-vertinne,Handel,regel,
Husholdningshandel,2,Kjøpmann/handelsmann,Handel,regel,
Kaféjomfru,2,Kafédame/servitrise,Handel,regel,
Kjøpman,2,Kjøpmann/handelsmann,Handel,regel,
Kreaturhandler og Slagter,2,Kreaturhandler/kveghandler,Handel,manuell,butikkfunksjon/salg
Lagermand,2,Lagerarbeider,Handel,regel,
Manufacturkjøbmand,2,Kjøpmann/handelsmann,Handel,regel,
Pensionat,2,Pensjonatvert/-vertinne,Handel,manuell,butikkfunksjon/salg
Resande,2,Handelsreisende,Handel,regel,
Apotheker,2,Apoteker,Helse,regel,
Diakonisse,2,Sykepleier,Helse,regel,
Discippel ved apothek,2,Apoteklærling,Helse,regel,
Pleierske,2,Sykepleier,Helse,regel,
Restaurationspige dampbad,2,Badeassistent,Helse,regel,
Sygepleierske,2,Sykepleier,Helse,regel,
Vaagepige,2,Våkekone,Helse,regel,
%Hustru%,2,Hustru/husmor,Husarbeid,regel,
Arbeider i Huuset,2,Husgjerning,Husarbeid,regel,
Behjælpelig i Husholdningen,2,Husgjerning,Husarbeid,regel,
Beskjæftiget i Husgjerningen,2,Husgjerning,Husarbeid,regel,
Gaar Husmoderen tilhaande,2,Husgjerning,Husarbeid,regel,
H.M.,2,Hustru/husmor,Husarbeid,regel,
Husgjerning i hjemmet,2,Husgjerning,Husarbeid,regel,
Husmodergjerninger,2,Hustru/husmor,Husarbeid,regel,
Hustru Husgjærning,2,Hustru/husmor,Husarbeid,regel,
Steller Huset,2,Husgjerning,Husarbeid,regel,
steller Huset,2,Husgjerning,Husarbeid,regel,
Steller sit eget hus,2,Husgjerning,Husarbeid,regel,
Sysselsat med husgjerning,2,Husgjerning,Husarbeid,regel,
TilHjælp i Hjemmet,2,Husgjerning,Husarbeid,regel,
Gaardsdreng,2,Gårdsgutt,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
husholderske,2,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Maanedskondition,2,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Pige Tjenestepige,2,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Rengjøring,2,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Selskabsdame,2,Selskapsdame,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skure & vaskekone,2,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige Kokke,2,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige Stuepige,2,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Tjenestepige, husgjerning",2,Tjenestepige/husholderske,Huslig tjeneste,manuell,
Tjenestepike,2,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vadskekone Skurekone,2,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaske pige,2,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaskning,2,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Barber,2,Barberer,Håndverk,regel,lærling uten fag: antatt håndverk
Bogbinderske,2,Bokbinder,Håndverk,regel,lærling uten fag: antatt håndverk
Buntmagerske,2,Buntmaker,Tekstil og søm,regel,lærling uten fag: antatt håndverk
Hattemager,2,Hattemaker,Håndverk,regel,lærling uten fag: antatt håndverk
Hjulmagermester,2,Hjulmakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Lappeskomager,2,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Lærling,2,Lærling,Håndverk,regel,lærling uten fag: antatt håndverk
Møbelsnedker,2,Møbelsnekker,Håndverk,regel,lærling uten fag: antatt håndverk
Møbelsnedkersvend,2,Møbelsnekkersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Sadelmagermester,2,Sadelmakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Seilmager,2,Seilmaker,Sjøfart,regel,lærling uten fag: antatt håndverk
Setterske i Amtstidende,2,Typograf,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager f. eg. regn.,2,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager for egen regning,2,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagerlerling,2,Skomakerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagerlærling,2,Skomakerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagermester og gaardeier,2,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagersvend hos Otto Olsen,2,Skomakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Smedmester,2,Smedmester,Håndverk,regel,lærling uten fag: antatt håndverk
Snedkersven Møbelsnedker i en andens Tjeneste,2,Snekkersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Sætterske,2,Typograf,Håndverk,regel,lærling uten fag: antatt håndverk
Uhrmagerforretning,2,Urmakermedarbeider,Håndverk,regel,lærling uten fag: antatt håndverk
Uhrmagersvend,2,Urmakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
arb Fyrstikfabrikken,2,Fyrstikkfabrikkarbeider,Industri,regel,
arb. paa Gardinfabrikken,2,Gardinfabrikkarbeider,Industri,regel,
Arbeider paa Fyrstikfabrik,2,Fyrstikkfabrikkarbeider,Industri,regel,
Arbeider på Fyrstikfabriken,2,Fyrstikkfabrikkarbeider,Industri,regel,
Arbeider på gardinfabrik,2,Gardinfabrikkarbeider,Industri,regel,
Arbeider paa Haldens tændstikf.,2,Fyrstikkfabrikkarbeider,Industri,regel,
Arbeider på skofabrik,2,Skofabriksarbeider,Industri,regel,
Arbeider paa skofabrik,2,Skofabriksarbeider,Industri,regel,
arbeider paa Tændstikfabrik,2,Fyrstikkfabrikkarbeider,Industri,regel,
Arbeider Skofabrik,2,Skofabriksarbeider,Industri,regel,
Arbeider ved Haldens Skofabrik,2,Skofabriksarbeider,Industri,regel,
Arbeider ved Tenstikfabriken,2,Fyrstikkfabrikkarbeider,Industri,regel,
Arbeiderske Bomuldsvæveri,2,Veveriarbeider,Industri,regel,
Arbeiderske paa gardinfabriken,2,Gardinfabrikkarbeider,Industri,regel,
Dagarbeider ved Jernverk,2,Dagarbeider,Dagarbeid,regel,
Elektrisk Montør,2,Elektromontør,Industri,regel,
fabrikarbeider,2,Fabrikkarbeider,Industri,regel,
Filhugger,2,Filer/filhugger,Industri,regel,
Formand Bomuldspinderi,2,Fabrikkformann,Industri,regel,
Fyrstik-Fabrikarbeiderske,2,Fyrstikkfabrikkarbeider,Industri,regel,
Fyrstikarbeiderske paa Haldens Tændstiksfabrik,2,Fyrstikkfabrikkarbeider,Industri,regel,
Gardinfabrikarb.,2,Gardinfabrikkarbeider,Industri,regel,
Gasfyrer,2,Gassfyrer,Industri,regel,
Kuffertfabrikarbeider,2,Reiseeffektarbeider,Industri,regel,
Montør ved Elektricitetsværket,2,Montør,Industri,regel,
Montører,2,Montør,Industri,regel,
Notler paa Skofabrik,2,Notler/notlerske,Industri,regel,
Notlerske Halvorsen Skofabrik,2,Notler/notlerske,Industri,regel,
Naatlerske,2,Notler/notlerske,Industri,regel,
opslager,2,Oppslager (smed),Industri,regel,
Skoarbeider ved fabrik,2,Skofabrikarbeider,Industri,regel,
Skoarbeiderske hos O Dahl,2,Skofabrikarbeider,Industri,regel,
Skofabrikarbeid%er%,2,Skofabrikarbeider,Industri,regel,
Spiksyrer,2,Spikersyrer,Industri,regel,
Spinderi Arbeiderske,2,Spinneriarbeider,Industri,regel,
Spinderipige,2,Spinneriarbeider,Industri,regel,
Spinhusarbeider,2,Spinneriarbeider,Industri,manuell,
Stopperske paa Gardinfabrikken,2,Gardinfabrikkarbeider,Industri,regel,
Syr paa kaabefabrik,2,Sypike/syerske (fabrikk),Industri,regel,
syr paa kaabefabrik,2,Sypike/syerske (fabrikk),Industri,regel,
Tekniker,2,Ingeniør (industri),Industri,regel,
Tilskjærer ved Skotøisfabrik,2,Tilskjærer (fabrikk),Industri,regel,
Værkstedarbejder,2,Mekaniker,Industri,regel,
Væverske paa Væveriet,2,Veveriarbeider,Industri,regel,
Væverske ved Haldens Væveri,2,Veveriarbeider,Industri,regel,
Wæveriarbeider,2,Veveriarbeider,Industri,regel,
Wæveriarbeiderske,2,Veveriarbeider,Industri,regel,
Agronom,2,Agronom,Jordbruk,regel,
Fisker,2,Fisker,Jordbruk,regel,
Gartner Handelsgartner,2,Gartner,Jordbruk,manuell,
Bankkasserer,2,Bankkasserer,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Forretningsbestyrer,2,Forretningsfører,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Jernbanekontorist,2,Kontorist,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Kassererske i Manufakturforretning,2,Kasserer,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Arbeider på Komunal mølle,2,Møllearbeider,Mat og drikke,regel,
Bagerkone,2,Baker,Mat og drikke,regel,
Bagerlerling,2,Bakerlærling,Mat og drikke,regel,
Bagerske,2,Baker,Mat og drikke,regel,
Bryggerieier,2,Bryggerieier,Mat og drikke,regel,
Conditor,2,Konditor,Mat og drikke,regel,
Husbagning,2,Husbaker,Mat og drikke,regel,
Møllerarbejder,2,Møllearbeider,Mat og drikke,regel,
Pølsemager,2,Pølsemaker,Mat og drikke,regel,
Slagterarbeider,2,Slakter,Mat og drikke,regel,
Tjeneste v/ meieri,2,Meieriarbeider,Mat og drikke,regel,
Udfører Husbagning,2,Hjemmebaker,Mat og drikke,regel,
Premierløitnant,2,Premierløitnant,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Slumofficer,2,Slumoffiser,Offentlig tjeneste,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Bestillingsmand. Toldopsynsmand,2,Bestillingsmann,Offentlig tjeneste,regel,
Kom. veivæsen Dagarbeider,2,Kommunearbeider,Offentlig tjeneste,regel,
Konstabel,2,Konstabel,Offentlig tjeneste,regel,
politikonstabel,2,Politikonstabel,Offentlig tjeneste,regel,
Politioverkonstabel,2,Politioverkonstabel,Offentlig tjeneste,regel,
Dampbaadsjauer,2,Stuer/bryggearbeider,Sjøfart,regel,
Seil-Skibsfører,2,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sjømand Matros,2,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuerarbejder,2,Stuer/bryggearbeider,Sjøfart,regel,
Styrmand Dampskib,2,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Søman,2,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Jungmand,2,Jungmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Stuert,2,Stuert,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Styrmand,2,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand. Jungmand,2,Jungmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Datter Skolepige,2,Skolebarn,Skoleelev,regel,
Datter Skolesøgende,2,Skolesøkende,Skoleelev,regel,
Gaar i 1ste Gymnasieklasse,2,Gymnasiast,Skoleelev,regel,
hjemme Skoledecipel,2,Skolebarn,Skoleelev,regel,
Skolen,2,Skolebarn,Skoleelev,regel,
Skolesøgende,2,Skolesøkende,Skoleelev,regel,
Skolesøgende - Datter,2,Skolesøkende,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skolesøgende %Datter%,2,Skolesøkende,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Søn - Skolegut,2,Skolebarn,Skoleelev,regel,
Haandgjerning,2,Strikkerske,Tekstil og søm,regel,
Kjolesømmerske,2,Sypike/syerske,Tekstil og søm,regel,
Linsøm,2,Sypike/syerske,Tekstil og søm,regel,
Linsømerske Legat 90 Kr.,2,Sypike/syerske,Tekstil og søm,regel,
Linsømforretning,2,Sypike/syerske,Tekstil og søm,regel,
Linsømmerske,2,Sypike/syerske,Tekstil og søm,regel,
Læregut i Skrædderh.,2,Skredderlærling,Tekstil og søm,regel,
Skredder,2,Skredder,Tekstil og søm,regel,
Skreddermester,2,Skreddermester,Tekstil og søm,regel,
Skreddersvend,2,Skreddersvenn,Tekstil og søm,regel,
Strikkeforetning,2,Strikkerske,Tekstil og søm,regel,
Strikker for fremmede,2,Strikkerske,Tekstil og søm,regel,
Strygning,2,Strykerske,Tekstil og søm,regel,
Syeforretning,2,Sypike/syerske,Tekstil og søm,regel,
syerske,2,Sypike/syerske,Tekstil og søm,regel,
Syerske egen Forretn.,2,Sypike/syerske,Tekstil og søm,regel,
Syerske hos Matisen,2,Sypike/syerske,Tekstil og søm,regel,
Syerske i Husene,2,Sypike/syerske,Tekstil og søm,regel,
Syerske Kjolesøm,2,Sypike/syerske,Tekstil og søm,regel,
Syforetning Kjolesøm,2,Syforretning,Tekstil og søm,regel,
Syjomfru,2,Sypike/syerske,Tekstil og søm,regel,
sypige,2,Sypike/syerske,Tekstil og søm,regel,
Sypige skræddersøm,2,Sypike/syerske,Tekstil og søm,regel,
Sypike,2,Sypike/syerske,Tekstil og søm,regel,
Syr flaskehylstre,2,Sypike/syerske,Tekstil og søm,regel,
Søm,2,Sypike/syerske,Tekstil og søm,regel,
Arbeidsvognmand,2,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Avisbud,2,Avisbud,Transport,regel,"jernbane samlet her, også funksjonærene"
Brøddrager,2,Brødbærer,Transport,regel,"jernbane samlet her, også funksjonærene"
Bybud,2,Bud,Transport,regel,"jernbane samlet her, også funksjonærene"
Fragtemand,2,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Fyrbøder paa jernbanen,2,Lokomotivfyrbøter,Transport,manuell,bud/visergutt regnes som transport uansett arbeidssted
Herskabskusk,2,Kusk,Transport,regel,"jernbane samlet her, også funksjonærene"
Jernbane Stationsbetjent,2,Stasjonbetjent (jernbane),Transport,regel,"jernbane samlet her, også funksjonærene"
Kjører Arbeidskjøring,2,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Kjører for jernverk,2,Vognmann/kjører,Transport,manuell,kjøring regnes som transport uansett arbeidsgiver
Kjørergut,2,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Konduktør,2,Konduktør (jernbane),Transport,regel,"jernbane samlet her, også funksjonærene"
Kulkjører,2,Kullkjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Kulmaaler,2,Kullmåler,Transport,regel,"jernbane samlet her, også funksjonærene"
Sporskifter Jernbanen,2,Sporskifter (jernbane),Transport,regel,"jernbane samlet her, også funksjonærene"
Søn Bud ved Kjøbmdsforretn.,2,Bud,Transport,manuell,bud/visergutt regnes som transport uansett arbeidssted
Telegrafbud,2,Bud,Transport,manuell,bud/visergutt regnes som transport uansett arbeidssted
Visergut hos kjøbm.,2,Visegutt,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeider paa Høvleriet,2,Høvleriarbeider,Treindustri,regel,
Arbeider på saugbrugsforeningens brygger,2,Stuer/bryggearbeider (Saugbrugforeningen),Treindustri,regel,
Arbeider paa Sliberiet,2,Sliperiarbeider,Treindustri,regel,
Arbeider Saugbrugsf. Tomtearbeider,2,Tomtearbeider,Treindustri,regel,
Arbeider ved høvleri,2,Høvleriarbeider,Treindustri,regel,
Arbeider ved sagbrug,2,Sagbruksarbeider,Treindustri,regel,
Arbeider ved Saug-brugsforeningen hersted Plankekjører,2,Sagbruksarbeider,Treindustri,regel,
Bordhus arbeider,2,Bordhusarbeider,Treindustri,regel,
Cirkelskjærer,2,Sirkelskjærer,Treindustri,regel,
Dagarbeider på Vedtomten hos Saugbrugsforeningen,2,Dagarbeider,Dagarbeid,regel,
Flødningsarbeider,2,Fløter,Treindustri,regel,
Fløter,2,Fløter,Treindustri,regel,
Formand ved Høvleri,2,Formann (treindustri),Treindustri,regel,
Fyrbøder paa Høvleriet,2,Fyrbøter (treindustri),Treindustri,manuell,
Høvleriarb.,2,Høvleriarbeider,Treindustri,regel,
Høvleriarbeider %Trælastvirksomhed%,2,Høvleriarbeider,Treindustri,regel,
Høvleriarbeider og Kjører som Midlertidig,2,Høvleriarbeider,Treindustri,regel,
Maskinist ved Høvleri,2,Maskinist (treindustri),Treindustri,regel,
Plankearbeider,2,Plankebærer,Treindustri,regel,
Ramskjærer ved Saugbrugsforeningen,2,Rammeskjærer,Treindustri,regel,
Sliber,2,Sliperiarbeider,Treindustri,regel,
Sliber ved Høvleriet,2,Sliperiarbeider,Treindustri,regel,
Sliberi Arbeider,2,Sliperiarbeider,Treindustri,regel,
Snedker ved Høvleriet,2,Snekker,Treindustri,regel,
Trælast arbeider,2,Trelastarbeider,Treindustri,regel,
Træsliberiarbeider,2,Sliperiarbeider,Treindustri,regel,
Tømmerdrager ved Sagbrug,2,Sagbruksarbeider,Treindustri,regel,
Tømmerhugger,2,Tømmerhugger,Treindustri,regel,
Tømmersorterer,2,Tømmersorterer,Treindustri,regel,
